Year,Coal,Solar,Solar2,Hydro,Waste,Wind,Gas
1989,121167.00,,,14880.00,750.00,,14359.00
1990,125559.00,,,16103.00,769.00,,10772.00
1991,128884.10,10.90,,15768.00,670.00,,11633.00
1992,131120.70,13.30,,16953.00,670.00,,12295.00
1993,135434.10,15.90,,16649.00,670.00,4.00,12199.00
1994,138354.10,18.90,,16239.00,723.00,7.00,14913.00
1995,145516.60,23.40,,15731.00,928.00,7.00,12445.00
1996,151345.20,27.80,,16852.00,965.00,7.00,11426.00
1997,163602.50,33.50,,15733.00,1029.00,8.00,12934.00
1998,168289.30,37.70,,16563.00,1133.00,28.00,16001.00
1999,174033.50,43.50,,16720.00,1134.00,58.00,16245.00
2000,186487.00,50.00,,16933.00,645.00,210.00,17271.00
2001,173267.70,58.30,,16054.00,950.00,364.00,31730.00
2002,170456.90,58.30,,16490.00,1583.60,703.10,29375.30
2003,176755.10,68.10,,16331.10,1799.50,705.00,30919.40
2004,181166.30,77.80,,15612.20,3830.00,885.00,23802.90
2005,184784.40,90.30,,16029.20,3911.00,1713.10,22725.90
2006,186744.30,104.70,,14517.00,3953.00,2611.10,31849.90
2007,184228.00,122.80,,12056.90,4596.00,3093.10,34955.80
2008,184251.90,155.60,,11869.40,2795.20,3823.80,37660.40
2009,179792.80,424.90,,13548.70,2777.40,5051.70,44585.40
2010,172246.90,1530.40,,16806.70,2101.70,6084.90,48996.20
2011,171722.10,2558.70,,14083.30,3043.75,6969.70,48571.60
2012,159046.20,3826.30,,18269.60,3143.50,7959.60,51053.40
2013,151848.60,4366.28,49.68,18421.00,3499.39,10252.00,54393.90
2014,158609.70,5424.11,107.22,13445.00,3592.23,11466.60,52916.91
2015,163090.84,6381.05,457.21,15318.18,3789.89,12199.50,50536.08
2016,162338.61,6880.90,591.23,18051.89,3578.14,13027.50,48891.67
2017,159144.57,8081.99,765.85,13933.16,3636.90,12668.15,54929.20
